"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_Cientifico","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Chordata","Amphibia","Anura","Hylidae","Dendropsophus","Dendropsophus limai","Dendropsophus limai","(Bokermann, 1962)","Pererequinha-de-Lima","Anfíbios","09/2017","Dados Insuficientes","","","Dendropsophus limai é endêmica do Brasil, conhecida apenas da localidade-tipo, no município de São Vicente, estado de São Paulo. Devido à incerteza taxonômica, não há informações sobre tamanho, estrutura, tendências e distribuição da população que possibilitem uma avaliação adequada da espécie. Por esses motivos, Dendropsophus limai foi avaliada como Dados Insuficientes (DD).","Sim","Não","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral SP","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Cycloramphidae","Cycloramphus","Cycloramphus semipalmatus","Cycloramphus semipalmatus","(Miranda-Ribeiro, 1920)","","Anfíbios","09/2017","Menos Preocupante","","","Cycloramphus semipalmatus é endêmica do Brasil, do bioma Mata Atlântica, conhecida da Serra do Mar do estado de São Paulo. Sua extensão de ocorrência é de 570 km2. Embora tenha distribuição restrita, ocorre em uma região bem preservada da Serra do Mar, não havendo ameaças evidentes que possam afetar a espécie ao ponto de colocá-la em risco de extinção. Por estas razões, Cycloramphus semipalmatus foi avaliada como Menos Preocupante (LC).","Sim","Não","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral SP Sub-bacia Tietê","","ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Dendrophryniscus","Dendrophryniscus organensis","Dendrophryniscus organensis","Carvalho-e-Silva, Mongin, Izecksohn & Carvalho-e-Silva, 2010","","Anfíbios","09/2017","Menos Preocupante","","","Dendrophryniscus organensis é endêmica do Brasil, do bioma Mata Atlântica, sendo conhecida apenas da localidade-tipo, no Parque Nacional da Serra dos Órgãos, estado do Rio de Janeiro. Ocorre somente em mata ombrófila a cerca de 1.000 metros de altitude na unidade de conservação. O ambiente onde ocorre é preservado, não havendo ameaças evidentes que possam colocá-la em risco de extinção em curto prazo. Por esses motivos Dendrophryniscus organensis foi avaliada com Menos Preocupante (LC).","Sim","Não","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Paraíba do Sul","APA Petrópolis, PARNA da Serra dos Órgãos","","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Strabomantidae","Euparkerella","Euparkerella tridactyla","Euparkerella tridactyla","Izecksohn, 1988","Rãzinha-do-folhiço, Three-toed Guanabara Frog","Anfíbios","09/2017","Menos Preocupante","","","Euparkerella tridactyla é endêmica do Brasil, do bioma Mata Atlântica, conhecida apenas do estado do Espírito Santo, A espécie habita a serapilheira de florestas primárias e secundárias, mas não foi encontrada em ambientes degradados. Embora tenha distribuição restrita e haja em alguns locais haja perda de vegetação nativa em decorrência de atividades antrópicas, as ameaças são locais e não devem colocar a espécie em risco de extinção em curto prazo. Além disso, ela foi registrada em anos recentes em novas localidades. Por essas razões, Euparkerella tridactyla foi avaliada como Menos Preocupante (LC).","Sim","Não","Espírito Santo","|Sudeste|","Mata Atlântica","Sub-bacia Doce Sub-bacia Litoral ES","REBIO Augusto Ruschi","","OIUTREM","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Strabomantidae","Holoaden","Holoaden luederwaldti","Holoaden luederwaldti","Miranda-Ribeiro, 1920","Rãzinha-verrugosa-da-serra-de-Luederwaldt","Anfíbios","09/2017","Quase Ameaçada","","","Holoaden luederwaldti é endêmica do Brasil, encontrada somente em poucas localidades na Serra da Mantiqueira, na divisa entre os estados de São Paulo, Minas Gerais e Rio de Janeiro. Sua extensão de ocorrência foi estimada em 398 km2. A espécie é encontrada entre 1.500 e 2.100 metros de altitude e habita principalmente florestas primárias. Há registros em unidades de conservação de proteção integral, como o Parque Estadual de Campos do Jordão e Parque Nacional do Itatiaia, mas entre essas localidades o hábitat da espécie é afetado por desmatamentos e sofre declínio contínuo da qualidade. Entretanto, não há informação suficiente para supor que sua população esteja severamente fragmentada. Assim, Holoaden luederwaldti aproxima-se de Em Perigo (EN) pelo critério B1b(iii) e, por isso, foi avaliada como Quase Ameaçada (NT).","Sim","Sim","Minas Gerais, São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Grande Sub-bacia Paraíba do Sul","APA Serra da Mantiqueira, PARNA de Itatiaia","APA CAMPOS DO JORDÃO, PARQUE ESTADUAL DE CAMPOS DO JORDÃO","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus atelopoide","","Miranda-Ribeiro, 1920","Sapinho-pingo-de-ouro","Anfíbios","09/2017","Dados Insuficientes","","","Brachycephalus atelopoide é endêmica do Brasil, do bioma Mata Atlântica, registrada apenas na localidade-tipo, no município de Piquete, estado de São Paulo. A espécie foi descrita em 1920 e é conhecida apenas do holótipo, que aparentemente encontra-se perdido. Não há informações sobre distribuição, população e ameaças que possibilitem uma avaliação adequada de seu risco de extinção. Por esses motivos, Brachycephalus atelopoide foi avaliada com Dados Insuficientes (DD).","Sim","Não","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Paraíba do Sul","","","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus garbeanus","","Miranda-Ribeiro, 1920","Pingo-de-ouro","Anfíbios","09/2017","Menos Preocupante","","","Brachycephalus garbeanus é endêmica do Brasil, conhecida de uma pequena porção da Mata Atlântica do estado do Rio de Janeiro, na Serra da Macaé e proximidades, com registros nos municípios de Nova Friburgo e Silva Jardim. Apesar da extensão de ocorrência reduzida, calculada em 140 km2, a espécie é abundante e ocorre em unidades de conservação ou áreas protegidas. Não há ameaças evidentes que possam afetar a espécie ao ponto de colocá-la em risco de extinção. Por essas razões, Brachycephalus garbeanus foi avaliada como Menos Preocupante (LC).","Sim","Não","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ Sub-bacia Paraíba do Sul","APA Bacia do Rio São João/Mico-Leão-Dourado","ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax canastrensis","Ololygon canastrensis","(Cardoso & Haddad, 1982)","","Anfíbios","05/2018","Menos Preocupante","","","Scinax canastrensis é endêmica do Brasil, com registros de ocorrência na porção centro oeste do estado de Minas Gerais e norte de São Paulo. Sua extensão de ocorrência foi calculada em 20.511 km2. A espécie é comum e abundante e parece adaptar-se bem a alterações do ambiente. Ocorre em unidades de conservação, inclusive de proteção integral, como o Parque Nacional da Serra da Canastra, e não há evidências de ameaças que possam colocá-la em risco de extinção. Por estas razões, Scinax canastrensis foi avaliada como Menos Preocupante (LC).","Sim","Não","Minas Gerais, São Paulo","|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Grande Sub-bacia Paranaíba Sub-bacia São Francisco Alto","PARNA da Serra da Canastra","PARQUE ESTADUAL DAS FURNAS DO BOM JESUS","","","Desconhecida","5 - Uso de recursos biológicos|5.3 - Extração florestal 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Ischnocnema","Ischnocnema nasuta","Ischnocnema nasuta","(Lutz, 1925)","Pointy-nosed Robber Frog","Anfíbios","05/2018","Menos Preocupante","","","Ischnocnema nasuta é endêmica do Brasil, do bioma Mata Atlântica da região Sudeste do país. Possui registros de ocorrência nos estados do Espírito Santo e Rio de Janeiro. A espécie ocorre em ambientes de florestas submontana e montana, em bordas de mata e plantios de eucalipto. Sua reprodução se dá em bromélias. Embora possa ser localmente afetada por perda de hábitat e extração ilegal de bromélia, a distribuição da espécie é relativamente ampla, ela está presente em unidades de conservação, inclusive de proteção integral, e as ameaças não a colocam em risco de extinção em curto prazo. Por essas razões, Ischnocnema nasuta foi avaliada como Menos Preocupante (LC).","Sim","Não","Espírito Santo, Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Doce Sub-bacia Litoral ES Sub-bacia Paraíba do Sul","PARNA de Itatiaia, PARNA do Caparaó","","RPPN Fazenda Santa Izabel","","Desconhecida","5 - Uso de recursos biológicos|5.2 - Coleta de plantas terrestres|5.2.2 - Efeitos indiretos (a espécie não é o alvo)","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Ischnocnema","Ischnocnema octavioi","Ischnocnema octavioi","(Bokermann, 1965)","Rãzinha-do-folhiço","Anfíbios","05/2018","Menos Preocupante","","","Ischnocnema octavioi é endêmica do Brasil e conhecida somente para a Mata Atlântica do Estado do Rio de Janeiro, apresentando uma extensão de ocorrência de 2.314 km2. A espécie ocorre na serapilheira de ambientes florestais. Embora sua e haja perda de vegetação nativa em algumas localidades, não há ameaças evidentes que possam colocar a espécie em risco de extinção. Por essas razões, Ischnocnema octavioi foi avaliada como Menos Preocupante (LC).","Sim","Não","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ","APA Petrópolis, PARNA da Serra dos Órgãos, PARNA da Tijuca","ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO","","","Desconhecida","","","","","","",""
